workflow_id,current_node_date_1,stage1,current_node_date_2,stage2,current_node_date_3,stage3,current_node_date_4,stage4,current_node_date_5,stage5,value
2,2021-01-07,Language Selection,2021-01-08,Initial Reminder - Spanish,2021-01-16,Second Reminder - Spanish,2021-01-24,Not Converted,2021-01-24,Cancelation Confirmation,1
2,2021-01-07,Language Selection,2021-01-09,Initial Reminder - English,2021-01-14,Not Converted,2021-01-14,Cancelation Confirmation,,,1
2,2021-01-07,Language Selection,2021-01-12,Initial Reminder - English,2021-01-14,Second Reminder - English,2021-01-18,Not Converted,2021-01-18,Cancelation Confirmation,1
2,2021-01-07,Language Selection,2021-01-12,Initial Reminder - English,2021-01-15,Converted,2021-01-15,Workflow Change - Renewal,,,1
2,2021-01-07,Language Selection,2021-01-15,Initial Reminder - English,2021-01-16,Second Reminder - English,2021-01-21,Not Converted,2021-01-21,Cancelation Confirmation,1
2,2021-01-08,Initial Reminder - English,2021-01-09,Second Reminder - English,2021-01-11,Not Converted,2021-01-11,Cancelation Confirmation,,,1
2,2021-01-08,Initial Reminder - Spanish,2021-01-16,Second Reminder - Spanish,2021-01-24,Not Converted,2021-01-24,Cancelation Confirmation,,,1
2,2021-01-08,Language Selection,2021-01-10,Initial Reminder - English,2021-01-17,Converted,2021-01-17,Workflow Change - Renewal,,,1
2,2021-01-08,Language Selection,2021-01-10,Initial Reminder - Spanish,2021-01-15,Not Converted,2021-01-15,Cancelation Confirmation,,,1
2,2021-01-08,Language Selection,2021-01-10,Initial Reminder - Spanish,2021-01-18,Not Converted,2021-01-18,Cancelation Confirmation,,,1
2,2021-01-08,Language Selection,2021-01-11,Initial Reminder - English,2021-01-15,Second Reminder - English,2021-01-23,Converted,2021-01-23,Workflow Change - Renewal,1
2,2021-01-08,Language Selection,2021-01-13,Initial Reminder - Spanish,2021-01-21,Second Reminder - Spanish,2021-01-23,Not Converted,2021-01-23,Cancelation Confirmation,1
2,2021-01-08,Language Selection,2021-01-15,Initial Reminder - Spanish,2021-01-18,Converted,2021-01-18,Workflow Change - Renewal,,,1
2,2021-01-08,Language Selection,2021-01-15,Initial Reminder - Spanish,2021-01-18,Not Converted,2021-01-18,Cancelation Confirmation,,,1
2,2021-01-08,Language Selection,2021-01-16,Initial Reminder - Spanish,2021-01-22,Not Converted,2021-01-22,Cancelation Confirmation,,,1
2,2021-01-09,Language Selection,2021-01-10,Initial Reminder - Spanish,2021-01-11,Not Converted,2021-01-11,Cancelation Confirmation,,,2
2,2021-01-09,Language Selection,2021-01-10,Initial Reminder - Spanish,2021-01-18,Not Converted,2021-01-18,Cancelation Confirmation,,,1
2,2021-01-09,Language Selection,2021-01-12,Initial Reminder - Spanish,2021-01-18,Not Converted,2021-01-18,Cancelation Confirmation,,,1
2,2021-01-09,Language Selection,2021-01-12,Initial Reminder - Spanish,2021-01-19,Not Converted,2021-01-19,Cancelation Confirmation,,,1
2,2021-01-09,Language Selection,2021-01-13,Initial Reminder - Spanish,2021-01-19,Second Reminder - Spanish,2021-01-26,Not Converted,2021-01-26,Cancelation Confirmation,1
2,2021-01-09,Language Selection,2021-01-14,Initial Reminder - Spanish,2021-01-15,Second Reminder - Spanish,2021-01-17,Not Converted,2021-01-17,Cancelation Confirmation,1
2,2021-01-09,Language Selection,2021-01-15,Initial Reminder - English,2021-01-17,Second Reminder - English,2021-01-24,Not Converted,2021-01-24,Cancelation Confirmation,1
2,2021-01-09,Language Selection,2021-01-15,Initial Reminder - English,2021-01-21,Second Reminder - English,2021-01-23,Not Converted,2021-01-23,Cancelation Confirmation,1
2,2021-01-09,Language Selection,2021-01-15,Initial Reminder - Spanish,2021-01-19,Not Converted,2021-01-19,Cancelation Confirmation,,,1
2,2021-01-09,Language Selection,2021-01-15,Initial Reminder - Spanish,2021-01-21,Converted,2021-01-21,Workflow Change - Renewal,,,1
2,2021-01-09,Language Selection,2021-01-16,Initial Reminder - Spanish,2021-01-18,Not Converted,2021-01-18,Cancelation Confirmation,,,1
2,2021-01-09,Language Selection,2021-01-17,Initial Reminder - English,2021-01-21,Converted,2021-01-21,Workflow Change - Renewal,,,1
2,2021-01-09,Language Selection,2021-01-17,Initial Reminder - Spanish,2021-01-19,Not Converted,2021-01-19,Cancelation Confirmation,,,1
2,2021-01-09,Language Selection,2021-01-17,Initial Reminder - Spanish,2021-01-23,Second Reminder - Spanish,2021-01-26,Not Converted,2021-01-26,Cancelation Confirmation,1
2,2021-01-10,Language Selection,2021-01-12,Initial Reminder - English,2021-01-15,Second Reminder - English,2021-01-18,Not Converted,2021-01-18,Cancelation Confirmation,1
2,2021-01-10,Language Selection,2021-01-12,Initial Reminder - English,2021-01-18,Second Reminder - English,2021-01-23,Not Converted,2021-01-23,Cancelation Confirmation,1
2,2021-01-10,Language Selection,2021-01-13,Initial Reminder - English,2021-01-14,Second Reminder - English,2021-01-18,Not Converted,2021-01-18,Cancelation Confirmation,1
2,2021-01-10,Language Selection,2021-01-13,Initial Reminder - English,2021-01-15,Second Reminder - English,2021-01-22,Not Converted,2021-01-22,Cancelation Confirmation,1
2,2021-01-10,Language Selection,2021-01-13,Initial Reminder - Spanish,2021-01-15,Not Converted,2021-01-15,Cancelation Confirmation,,,1
2,2021-01-10,Language Selection,2021-01-14,Initial Reminder - English,2021-01-20,Second Reminder - English,2021-01-26,Not Converted,2021-01-26,Cancelation Confirmation,1
2,2021-01-10,Language Selection,2021-01-14,Initial Reminder - Spanish,2021-01-22,Not Converted,2021-01-22,Cancelation Confirmation,,,1
2,2021-01-10,Language Selection,2021-01-15,Initial Reminder - English,2021-01-19,Second Reminder - English,2021-01-22,Not Converted,2021-01-22,Cancelation Confirmation,1
2,2021-01-10,Language Selection,2021-01-15,Initial Reminder - English,2021-01-21,Second Reminder - English,2021-01-24,Not Converted,2021-01-24,Cancelation Confirmation,1
2,2021-01-10,Language Selection,2021-01-15,Initial Reminder - Spanish,2021-01-20,Converted,2021-01-20,Workflow Change - Renewal,,,1
2,2021-01-10,Language Selection,2021-01-17,Initial Reminder - English,2021-01-20,Not Converted,2021-01-20,Cancelation Confirmation,,,1
2,2021-01-10,Language Selection,2021-01-17,Initial Reminder - English,2021-01-25,Not Converted,2021-01-25,Cancelation Confirmation,,,1
2,2021-01-10,Language Selection,2021-01-17,Initial Reminder - Spanish,2021-01-20,Not Converted,2021-01-20,Cancelation Confirmation,,,2
2,2021-01-10,Language Selection,2021-01-17,Initial Reminder - Spanish,2021-01-22,Not Converted,2021-01-22,Cancelation Confirmation,,,1
2,2021-01-10,Language Selection,2021-01-17,Initial Reminder - Spanish,2021-01-24,Converted,2021-01-24,Workflow Change - Renewal,,,1
2,2021-01-10,Language Selection,2021-01-17,Initial Reminder - Spanish,2021-01-25,Not Converted,2021-01-25,Cancelation Confirmation,,,1
2,2021-01-11,Initial Reminder - English,2021-01-15,Second Reminder - English,2021-01-23,Converted,2021-01-23,Workflow Change - Renewal,,,1
2,2021-01-11,Language Selection,2021-01-13,Initial Reminder - English,2021-01-18,Second Reminder - English,2021-01-23,Not Converted,2021-01-23,Cancelation Confirmation,1
2,2021-01-11,Language Selection,2021-01-13,Initial Reminder - English,2021-01-19,Not Converted,2021-01-19,Cancelation Confirmation,,,1
2,2021-01-11,Language Selection,2021-01-13,Initial Reminder - Spanish,2021-01-17,Not Converted,2021-01-17,Cancelation Confirmation,,,1
2,2021-01-11,Language Selection,2021-01-14,Initial Reminder - English,2021-01-15,Second Reminder - English,2021-01-18,Not Converted,2021-01-18,Cancelation Confirmation,1
2,2021-01-11,Language Selection,2021-01-14,Initial Reminder - Spanish,2021-01-17,Converted,2021-01-17,Workflow Change - Renewal,,,1
2,2021-01-11,Language Selection,2021-01-15,Initial Reminder - Spanish,2021-01-21,Not Converted,2021-01-21,Cancelation Confirmation,,,1
2,2021-01-11,Language Selection,2021-01-16,Initial Reminder - English,2021-01-23,Converted,2021-01-23,Workflow Change - Renewal,,,1
2,2021-01-11,Language Selection,2021-01-16,Initial Reminder - Spanish,2021-01-17,Not Converted,2021-01-17,Cancelation Confirmation,,,1
2,2021-01-11,Language Selection,2021-01-16,Initial Reminder - Spanish,2021-01-19,Not Converted,2021-01-19,Cancelation Confirmation,,,1
2,2021-01-11,Language Selection,2021-01-16,Initial Reminder - Spanish,2021-01-23,Not Converted,2021-01-23,Cancelation Confirmation,,,1
2,2021-01-11,Language Selection,2021-01-18,Initial Reminder - Spanish,2021-01-22,Converted,2021-01-22,Workflow Change - Renewal,,,1
2,2021-01-11,Language Selection,2021-01-18,Initial Reminder - Spanish,2021-01-24,Not Converted,2021-01-24,Cancelation Confirmation,,,1
2,2021-01-11,Language Selection,2021-01-19,Initial Reminder - English,2021-01-21,Not Converted,2021-01-21,Cancelation Confirmation,,,1
2,2021-01-11,Language Selection,2021-01-19,Initial Reminder - English,2021-01-27,Not Converted,2021-01-27,Cancelation Confirmation,,,1
2,2021-01-11,Language Selection,2021-01-19,Initial Reminder - Spanish,2021-01-25,Not Converted,2021-01-25,Cancelation Confirmation,,,1
2,2021-01-11,Language Selection,2021-01-19,Initial Reminder - Spanish,2021-01-26,Not Converted,2021-01-26,Cancelation Confirmation,,,1
2,2021-01-12,Initial Reminder - English,2021-01-14,Second Reminder - English,2021-01-18,Not Converted,2021-01-18,Cancelation Confirmation,,,1
2,2021-01-12,Initial Reminder - English,2021-01-15,Second Reminder - English,2021-01-18,Not Converted,2021-01-18,Cancelation Confirmation,,,1
2,2021-01-12,Initial Reminder - English,2021-01-18,Second Reminder - English,2021-01-23,Not Converted,2021-01-23,Cancelation Confirmation,,,1
2,2021-01-12,Initial Reminder - English,2021-01-19,Second Reminder - English,2021-01-24,Not Converted,2021-01-24,Cancelation Confirmation,,,1
2,2021-01-12,Language Selection,2021-01-13,Initial Reminder - English,2021-01-15,Second Reminder - English,2021-01-20,Not Converted,2021-01-20,Cancelation Confirmation,1
2,2021-01-12,Language Selection,2021-01-13,Initial Reminder - English,2021-01-16,Second Reminder - English,2021-01-24,Not Converted,2021-01-24,Cancelation Confirmation,1
2,2021-01-12,Language Selection,2021-01-13,Initial Reminder - Spanish,2021-01-16,Not Converted,2021-01-16,Cancelation Confirmation,,,1
2,2021-01-12,Language Selection,2021-01-13,Initial Reminder - Spanish,2021-01-21,Not Converted,2021-01-21,Cancelation Confirmation,,,1
2,2021-01-12,Language Selection,2021-01-14,Initial Reminder - Spanish,2021-01-17,Not Converted,2021-01-17,Cancelation Confirmation,,,1
2,2021-01-12,Language Selection,2021-01-15,Initial Reminder - English,2021-01-22,Converted,2021-01-22,Workflow Change - Renewal,,,1
2,2021-01-12,Language Selection,2021-01-16,Initial Reminder - Spanish,2021-01-19,Not Converted,2021-01-19,Cancelation Confirmation,,,1
2,2021-01-12,Language Selection,2021-01-16,Initial Reminder - Spanish,2021-01-24,Not Converted,2021-01-24,Cancelation Confirmation,,,1
2,2021-01-12,Language Selection,2021-01-17,Initial Reminder - Spanish,2021-01-18,Converted,2021-01-18,Workflow Change - Renewal,,,1
2,2021-01-12,Language Selection,2021-01-17,Initial Reminder - Spanish,2021-01-22,Not Converted,2021-01-22,Cancelation Confirmation,,,1
2,2021-01-12,Language Selection,2021-01-18,Initial Reminder - Spanish,2021-01-19,Not Converted,2021-01-19,Cancelation Confirmation,,,1
2,2021-01-12,Language Selection,2021-01-18,Initial Reminder - Spanish,2021-01-26,Not Converted,2021-01-26,Cancelation Confirmation,,,1
2,2021-01-13,Initial Reminder - English,2021-01-14,Second Reminder - English,2021-01-18,Not Converted,2021-01-18,Cancelation Confirmation,,,1
2,2021-01-13,Initial Reminder - English,2021-01-15,Second Reminder - English,2021-01-20,Not Converted,2021-01-20,Cancelation Confirmation,,,1
2,2021-01-13,Initial Reminder - English,2021-01-15,Second Reminder - English,2021-01-22,Not Converted,2021-01-22,Cancelation Confirmation,,,1
2,2021-01-13,Initial Reminder - English,2021-01-16,Second Reminder - English,2021-01-24,Not Converted,2021-01-24,Cancelation Confirmation,,,1
2,2021-01-13,Initial Reminder - English,2021-01-18,Second Reminder - English,2021-01-23,Not Converted,2021-01-23,Cancelation Confirmation,,,1
2,2021-01-13,Initial Reminder - Spanish,2021-01-19,Second Reminder - Spanish,2021-01-26,Not Converted,2021-01-26,Cancelation Confirmation,,,1
2,2021-01-13,Initial Reminder - Spanish,2021-01-21,Second Reminder - Spanish,2021-01-23,Not Converted,2021-01-23,Cancelation Confirmation,,,1
2,2021-01-13,Language Selection,2021-01-15,Initial Reminder - Spanish,2021-01-21,Not Converted,2021-01-21,Cancelation Confirmation,,,1
2,2021-01-13,Language Selection,2021-01-16,Initial Reminder - English,2021-01-17,Second Reminder - English,2021-01-22,Not Converted,2021-01-22,Cancelation Confirmation,1
2,2021-01-13,Language Selection,2021-01-16,Initial Reminder - Spanish,2021-01-19,Not Converted,2021-01-19,Cancelation Confirmation,,,1
2,2021-01-13,Language Selection,2021-01-17,Initial Reminder - English,2021-01-22,Not Converted,2021-01-22,Cancelation Confirmation,,,1
2,2021-01-13,Language Selection,2021-01-17,Initial Reminder - Spanish,2021-01-20,Not Converted,2021-01-20,Cancelation Confirmation,,,1
2,2021-01-13,Language Selection,2021-01-17,Initial Reminder - Spanish,2021-01-23,Not Converted,2021-01-23,Cancelation Confirmation,,,1
2,2021-01-13,Language Selection,2021-01-18,Initial Reminder - English,2021-01-23,Second Reminder - English,2021-01-30,Not Converted,2021-01-30,Cancelation Confirmation,1
2,2021-01-13,Language Selection,2021-01-18,Initial Reminder - Spanish,2021-01-19,Not Converted,2021-01-19,Cancelation Confirmation,,,1
2,2021-01-13,Language Selection,2021-01-18,Initial Reminder - Spanish,2021-01-22,Not Converted,2021-01-22,Cancelation Confirmation,,,1
2,2021-01-13,Language Selection,2021-01-18,Initial Reminder - Spanish,2021-01-25,Not Converted,2021-01-25,Cancelation Confirmation,,,1
2,2021-01-13,Language Selection,2021-01-20,Initial Reminder - English,2021-01-26,Not Converted,2021-01-26,Cancelation Confirmation,,,1
2,2021-01-13,Language Selection,2021-01-21,Initial Reminder - Spanish,2021-01-22,Not Converted,2021-01-22,Cancelation Confirmation,,,1
2,2021-01-14,Initial Reminder - English,2021-01-15,Second Reminder - English,2021-01-18,Not Converted,2021-01-18,Cancelation Confirmation,,,1
2,2021-01-14,Initial Reminder - English,2021-01-20,Second Reminder - English,2021-01-26,Not Converted,2021-01-26,Cancelation Confirmation,,,1
2,2021-01-14,Initial Reminder - Spanish,2021-01-15,Second Reminder - Spanish,2021-01-17,Not Converted,2021-01-17,Cancelation Confirmation,,,1
2,2021-01-14,Language Selection,2021-01-15,Initial Reminder - English,2021-01-16,Second Reminder - English,2021-01-23,Not Converted,2021-01-23,Cancelation Confirmation,1
2,2021-01-14,Language Selection,2021-01-15,Initial Reminder - English,2021-01-20,Second Reminder - English,2021-01-23,Not Converted,2021-01-23,Cancelation Confirmation,1
2,2021-01-14,Language Selection,2021-01-15,Initial Reminder - Spanish,2021-01-16,Not Converted,2021-01-16,Cancelation Confirmation,,,1
2,2021-01-14,Language Selection,2021-01-15,Initial Reminder - Spanish,2021-01-20,Not Converted,2021-01-20,Cancelation Confirmation,,,1
2,2021-01-14,Language Selection,2021-01-16,Initial Reminder - Spanish,2021-01-20,Not Converted,2021-01-20,Cancelation Confirmation,,,1
2,2021-01-14,Language Selection,2021-01-16,Initial Reminder - Spanish,2021-01-21,Not Converted,2021-01-21,Cancelation Confirmation,,,1
2,2021-01-14,Language Selection,2021-01-17,Initial Reminder - English,2021-01-22,Second Reminder - English,2021-01-25,Converted,2021-01-25,Workflow Change - Renewal,1
2,2021-01-14,Language Selection,2021-01-18,Initial Reminder - English,2021-01-23,Second Reminder - English,2021-01-24,Converted,2021-01-24,Workflow Change - Renewal,1
2,2021-01-14,Language Selection,2021-01-19,Initial Reminder - English,2021-01-20,Converted,2021-01-20,Workflow Change - Renewal,,,1
2,2021-01-14,Language Selection,2021-01-19,Initial Reminder - Spanish,2021-01-20,Second Reminder - Spanish,2021-01-22,Not Converted,2021-01-22,Cancelation Confirmation,1
2,2021-01-14,Language Selection,2021-01-19,Initial Reminder - Spanish,2021-01-21,Not Converted,2021-01-21,Cancelation Confirmation,,,1
2,2021-01-14,Language Selection,2021-01-19,Initial Reminder - Spanish,2021-01-24,Not Converted,2021-01-24,Cancelation Confirmation,,,1
2,2021-01-14,Language Selection,2021-01-20,Initial Reminder - English,2021-01-28,Second Reminder - English,2021-01-31,Not Converted,2021-01-31,Cancelation Confirmation,1
2,2021-01-14,Language Selection,2021-01-20,Initial Reminder - Spanish,2021-01-27,Not Converted,2021-01-27,Cancelation Confirmation,,,1
2,2021-01-14,Language Selection,2021-01-21,Initial Reminder - Spanish,2021-01-22,Not Converted,2021-01-22,Cancelation Confirmation,,,1
2,2021-01-14,Language Selection,2021-01-22,Initial Reminder - Spanish,2021-01-25,Not Converted,2021-01-25,Cancelation Confirmation,,,1
2,2021-01-15,Initial Reminder - English,2021-01-16,Second Reminder - English,2021-01-21,Not Converted,2021-01-21,Cancelation Confirmation,,,1
2,2021-01-15,Initial Reminder - English,2021-01-16,Second Reminder - English,2021-01-23,Not Converted,2021-01-23,Cancelation Confirmation,,,1
2,2021-01-15,Initial Reminder - English,2021-01-17,Second Reminder - English,2021-01-24,Not Converted,2021-01-24,Cancelation Confirmation,,,1
2,2021-01-15,Initial Reminder - English,2021-01-19,Second Reminder - English,2021-01-22,Not Converted,2021-01-22,Cancelation Confirmation,,,1
2,2021-01-15,Initial Reminder - English,2021-01-20,Second Reminder - English,2021-01-23,Not Converted,2021-01-23,Cancelation Confirmation,,,1
2,2021-01-15,Initial Reminder - English,2021-01-21,Second Reminder - English,2021-01-23,Not Converted,2021-01-23,Cancelation Confirmation,,,1
2,2021-01-15,Initial Reminder - English,2021-01-21,Second Reminder - English,2021-01-24,Not Converted,2021-01-24,Cancelation Confirmation,,,1
2,2021-01-15,Language Selection,2021-01-16,Initial Reminder - English,2021-01-19,Second Reminder - English,2021-01-24,Not Converted,2021-01-24,Cancelation Confirmation,1
2,2021-01-15,Language Selection,2021-01-16,Initial Reminder - Spanish,2021-01-22,Converted,2021-01-22,Workflow Change - Renewal,,,1
2,2021-01-15,Language Selection,2021-01-16,Initial Reminder - Spanish,2021-01-24,Not Converted,2021-01-24,Cancelation Confirmation,,,1
2,2021-01-15,Language Selection,2021-01-17,Initial Reminder - Spanish,2021-01-21,Not Converted,2021-01-21,Cancelation Confirmation,,,1
2,2021-01-15,Language Selection,2021-01-17,Initial Reminder - Spanish,2021-01-23,Not Converted,2021-01-23,Cancelation Confirmation,,,1
2,2021-01-15,Language Selection,2021-01-18,Initial Reminder - English,2021-01-26,Second Reminder - English,2021-02-02,Not Converted,2021-02-02,Cancelation Confirmation,1
2,2021-01-15,Language Selection,2021-01-18,Initial Reminder - Spanish,2021-01-21,Not Converted,2021-01-21,Cancelation Confirmation,,,1
2,2021-01-15,Language Selection,2021-01-18,Initial Reminder - Spanish,2021-01-26,Second Reminder - Spanish,2021-01-28,Not Converted,2021-01-28,Cancelation Confirmation,1
2,2021-01-15,Language Selection,2021-01-19,Initial Reminder - Spanish,2021-01-21,Not Converted,2021-01-21,Cancelation Confirmation,,,1
2,2021-01-15,Language Selection,2021-01-20,Initial Reminder - English,2021-01-21,Second Reminder - English,2021-01-28,Not Converted,2021-01-28,Cancelation Confirmation,1
2,2021-01-15,Language Selection,2021-01-20,Initial Reminder - English,2021-01-23,Converted,2021-01-23,Workflow Change - Renewal,,,1
2,2021-01-15,Language Selection,2021-01-20,Initial Reminder - Spanish,2021-01-24,Not Converted,2021-01-24,Cancelation Confirmation,,,1
2,2021-01-15,Language Selection,2021-01-21,Initial Reminder - English,2021-01-28,Second Reminder - English,2021-01-30,Not Converted,2021-01-30,Cancelation Confirmation,1
2,2021-01-15,Language Selection,2021-01-21,Initial Reminder - Spanish,2021-01-29,Not Converted,2021-01-29,Cancelation Confirmation,,,1
2,2021-01-15,Language Selection,2021-01-22,Initial Reminder - English,2021-01-27,Second Reminder - English,2021-01-29,Not Converted,2021-01-29,Cancelation Confirmation,1
2,2021-01-15,Language Selection,2021-01-22,Initial Reminder - Spanish,2021-01-25,Not Converted,2021-01-25,Cancelation Confirmation,,,1
2,2021-01-15,Language Selection,2021-01-23,Initial Reminder - English,2021-01-27,Not Converted,2021-01-27,Cancelation Confirmation,,,1
2,2021-01-16,Initial Reminder - English,2021-01-17,Second Reminder - English,2021-01-22,Not Converted,2021-01-22,Cancelation Confirmation,,,1
2,2021-01-16,Initial Reminder - English,2021-01-19,Second Reminder - English,2021-01-24,Not Converted,2021-01-24,Cancelation Confirmation,,,1
2,2021-01-16,Language Selection,2021-01-18,Initial Reminder - English,2021-01-22,Not Converted,2021-01-22,Cancelation Confirmation,,,1
2,2021-01-16,Language Selection,2021-01-18,Initial Reminder - Spanish,2021-01-20,Not Converted,2021-01-20,Cancelation Confirmation,,,1
2,2021-01-16,Language Selection,2021-01-19,Initial Reminder - English,2021-01-26,Not Converted,2021-01-26,Cancelation Confirmation,,,1
2,2021-01-16,Language Selection,2021-01-19,Initial Reminder - Spanish,2021-01-24,Not Converted,2021-01-24,Cancelation Confirmation,,,1
2,2021-01-16,Language Selection,2021-01-21,Initial Reminder - Spanish,2021-01-26,Not Converted,2021-01-26,Cancelation Confirmation,,,1
2,2021-01-16,Language Selection,2021-01-23,Initial Reminder - Spanish,2021-01-25,Converted,2021-01-25,Workflow Change - Renewal,,,1
2,2021-01-16,Language Selection,2021-01-24,Initial Reminder - English,2021-01-26,Second Reminder - English,2021-02-03,Converted,2021-02-03,Workflow Change - Renewal,1
2,2021-01-16,Language Selection,2021-01-24,Initial Reminder - English,2021-01-27,Not Converted,2021-01-27,Cancelation Confirmation,,,1
2,2021-01-17,Initial Reminder - English,2021-01-22,Second Reminder - English,2021-01-25,Converted,2021-01-25,Workflow Change - Renewal,,,1
2,2021-01-17,Initial Reminder - Spanish,2021-01-23,Second Reminder - Spanish,2021-01-26,Not Converted,2021-01-26,Cancelation Confirmation,,,1
2,2021-01-17,Language Selection,2021-01-19,Initial Reminder - English,2021-01-25,Not Converted,2021-01-25,Cancelation Confirmation,,,1
2,2021-01-17,Language Selection,2021-01-20,Initial Reminder - Spanish,2021-01-28,Not Converted,2021-01-28,Cancelation Confirmation,,,1
2,2021-01-17,Language Selection,2021-01-21,Initial Reminder - English,2021-01-22,Second Reminder - English,2021-01-30,Not Converted,2021-01-30,Cancelation Confirmation,1
2,2021-01-17,Language Selection,2021-01-21,Initial Reminder - English,2021-01-28,Not Converted,2021-01-28,Cancelation Confirmation,,,1
2,2021-01-17,Language Selection,2021-01-22,Initial Reminder - English,2021-01-27,Not Converted,2021-01-27,Cancelation Confirmation,,,1
2,2021-01-17,Language Selection,2021-01-22,Initial Reminder - Spanish,2021-01-24,Not Converted,2021-01-24,Cancelation Confirmation,,,1
2,2021-01-17,Language Selection,2021-01-25,Initial Reminder - Spanish,2021-02-01,Not Converted,2021-02-01,Cancelation Confirmation,,,1
2,2021-01-18,Initial Reminder - English,2021-01-23,Second Reminder - English,2021-01-24,Converted,2021-01-24,Workflow Change - Renewal,,,1
2,2021-01-18,Initial Reminder - English,2021-01-23,Second Reminder - English,2021-01-30,Not Converted,2021-01-30,Cancelation Confirmation,,,1
2,2021-01-18,Initial Reminder - English,2021-01-26,Second Reminder - English,2021-02-02,Not Converted,2021-02-02,Cancelation Confirmation,,,1
2,2021-01-18,Initial Reminder - Spanish,2021-01-26,Second Reminder - Spanish,2021-01-28,Not Converted,2021-01-28,Cancelation Confirmation,,,1
2,2021-01-18,Language Selection,2021-01-19,Initial Reminder - Spanish,2021-01-20,Not Converted,2021-01-20,Cancelation Confirmation,,,1
2,2021-01-18,Language Selection,2021-01-19,Initial Reminder - Spanish,2021-01-23,Not Converted,2021-01-23,Cancelation Confirmation,,,1
2,2021-01-18,Language Selection,2021-01-19,Initial Reminder - Spanish,2021-01-27,Not Converted,2021-01-27,Cancelation Confirmation,,,1
2,2021-01-18,Language Selection,2021-01-20,Initial Reminder - English,2021-01-27,Second Reminder - English,2021-02-01,Converted,2021-02-01,Workflow Change - Renewal,1
2,2021-01-18,Language Selection,2021-01-20,Initial Reminder - Spanish,2021-01-24,Not Converted,2021-01-24,Cancelation Confirmation,,,1
